Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-46.7,89.02,"45,000.00 €"
50,50,-46.8,89.02,"45,000.00 €"
50,50,-46.9,89.02,"45,000.00 €"
50,50,-47.0,89.02,"45,000.00 €"
50,50,-47.1,89.01,"45,000.00 €"
50,50,-47.2,89.01,"45,000.00 €"
50,50,-47.3,89.01,"45,000.00 €"
50,50,-47.4,89.01,"45,000.00 €"
50,50,-47.5,89.01,"45,000.00 €"
50,50,-47.6,89.01,"45,000.00 €"
50,50,-47.7,89.01,"45,000.00 €"
50,50,-47.8,89.00,"45,000.00 €"
50,50,-47.9,89.00,"45,000.00 €"
50,50,-48.0,89.00,"45,000.00 €"
50,50,-48.1,89.00,"45,000.00 €"
50,50,-48.2,89.00,"45,000.00 €"
50,50,-48.3,89.00,"45,000.00 €"
50,50,-48.4,89.00,"45,000.00 €"
50,50,-48.5,88.99,"45,000.00 €"
50,50,-48.6,88.99,"45,000.00 €"
50,50,-48.7,88.99,"45,000.00 €"
50,50,-48.8,88.99,"45,000.00 €"
50,50,-48.9,88.99,"45,000.00 €"
50,50,-49.0,88.99,"45,000.00 €"
50,50,-49.1,88.99,"45,000.00 €"
50,50,-49.2,88.98,"45,000.00 €"
50,50,-49.3,88.98,"45,000.00 €"
50,50,-49.4,88.98,"45,000.00 €"
50,50,-49.5,88.98,"45,000.00 €"
50,50,-49.6,88.98,"40,000.00 €"
50,50,-49.7,88.98,"40,000.00 €"
50,50,-49.8,88.98,"40,000.00 €"
50,50,-49.9,88.97,"40,000.00 €"
50,50,-50.0,88.97,"40,000.00 €"
50,50,-50.1,88.97,"40,000.00 €"
50,50,-50.2,88.97,"40,000.00 €"
50,50,-50.3,88.97,"40,000.00 €"
50,50,-50.4,88.97,"40,000.00 €"
50,50,-50.5,88.97,"40,000.00 €"
50,50,-50.6,88.96,"40,000.00 €"
50,50,-50.7,88.96,"40,000.00 €"
50,50,-50.8,88.96,"40,000.00 €"
50,50,-50.9,88.96,"40,000.00 €"
50,50,-51.0,88.96,"40,000.00 €"
50,50,-51.1,88.96,"40,000.00 €"
50,50,-51.2,88.96,"40,000.00 €"
50,50,-51.3,88.95,"40,000.00 €"
50,50,-51.4,88.95,"40,000.00 €"
50,50,-51.5,88.95,"40,000.00 €"
50,50,-51.6,88.95,"40,000.00 €"
50,50,-51.7,88.95,"40,000.00 €"
50,50,-51.8,88.95,"40,000.00 €"
50,50,-51.9,88.95,"40,000.00 €"
50,50,-52.0,88.95,"40,000.00 €"
50,50,-52.1,88.94,"40,000.00 €"
50,50,-52.2,88.94,"40,000.00 €"
50,50,-52.3,88.94,"40,000.00 €"
50,50,-52.4,88.94,"40,000.00 €"
50,50,-52.5,88.94,"40,000.00 €"
50,50,-52.6,88.94,"40,000.00 €"
50,50,-52.7,88.94,"40,000.00 €"
50,50,-52.8,88.94,"40,000.00 €"
50,50,-52.9,88.93,"40,000.00 €"
50,50,-53.0,88.93,"40,000.00 €"
50,50,-53.1,88.93,"40,000.00 €"
50,50,-53.2,88.93,"40,000.00 €"
50,50,-53.3,88.93,"40,000.00 €"
50,50,-53.4,88.93,"40,000.00 €"
50,50,-53.5,88.93,"40,000.00 €"
50,50,-53.6,88.93,"40,000.00 €"
50,50,-53.7,88.93,"40,000.00 €"
50,50,-53.8,88.92,"40,000.00 €"
50,50,-53.9,88.92,"40,000.00 €"
50,50,-54.0,88.92,"40,000.00 €"
50,50,-54.1,88.92,"40,000.00 €"
50,50,-54.2,88.92,"40,000.00 €"
50,50,-54.3,88.92,"40,000.00 €"
50,50,-54.4,88.92,"40,000.00 €"
50,50,-54.5,88.92,"40,000.00 €"
50,50,-54.6,88.91,"40,000.00 €"
50,50,-54.7,88.91,"40,000.00 €"
